description,country,variety
"With its roundness, this wine shows the character of the Loureiro grape. Giving a tweak to the softer element is a burst of fine acidity, a lime juice note and a fresh aftertaste.",Portugal,Loureiro
"Smooth and rounded with light, perfumed sweetness, this is an easy and approachable wine. Its pear and kiwi flavors come together easily. Screwcap.",Portugal,Portuguese White
"A wine whose real quality lies in its great fruitiness and open, soft tannins. With just a touch of wood, its stalky black-fruit flavors are all ready to drink. Screwcap.",Portugal,Portuguese Red
"This Pinot Blanc is a soft sparkling wine, rustic around the edges and missing the acidity. It is rounded, feels ripe and finishes on a yeasty note.",Portugal,Pinot Blanc
"It is unusual to find the northern Portuguese Alvarinho grape in the southern Alentejo—and it doesn't quite work. With the heat, the intense flavors of the grape are transmuted into flabbiness with only hints of acidity.",Portugal,Alvarinho
"For an Alentejo wine, this is surprisingly light, fresh and poised. Yes, there is rich raisiny fruit. but it is easily balanced by a thread of acidity that winds through. The tannins are soft, the fruit juicy.",Portugal,Portuguese Red
"The second label of Duorum, this is a wine packed with vivid black berry, spice and herbal flavors. There is a fine juicy character, full of ripe acidity and a delicious fruity aftertaste.",Portugal,Portuguese Red
"A smoothly textured wine that shows red-berry flavors, with very soft tannins along with a farmyard character. It feels ripe and fruit; a fine barbecue wine.",Portugal,Portuguese Red
"A blend of Syrah and Touriga Nacional, this strawberry-flavored wine has fine acidity and an attractive soft yet tangy texture.",Portugal,Rosé
"A bright, floral wine that offers light citrus and apricot flavors. It is a perfect apéritif wine, fruity and ready to drink.",Portugal,Fernão Pires
"This is intensely juicy, with acidity that cuts through the black-currant flavors, creating a wine that's brimming with fruitiness. There is a slight distracting hint of oxidized tomato, but it's otherwise enjoyable.",Portugal,Portuguese Red
"This is a soft, caramel-flavored rosé that has a wild-strawberry freshness, and a limpid texture.",Portugal,Rosé
"A crisp, off-dry Vinho Verde with a good prickle on the tongue. Flavors of lemon and green apple are well balanced in this ready-to-drink summer wine. Screwcap.",Portugal,Portuguese White
"Along with its strawberry flavors, this wine is soft and dry, with structured, tangy acidity. Screwcap.",Portugal,Rosé
"A bright and fruity wine that has plenty of acidity, but a slightly distracting tomato flavor. It's slightly unbalanced as the fruit is too juicy for the rest of the wine.",Portugal,Portuguese Red
"A very dry wine, firmly tannic and feeling overextracted. It is hard and unlikely to yield much fruit.",Portugal,Portuguese Red
"A full, soft wine, with hints of toast and spice to go with the warm peach flavors. With only light acidity, it is clean but feels soft.",Portugal,Portuguese White
"Smooth, lightly oily-textured wine, with a vivid citrus character over the more emollient pear flavors. It has attractive acidity, carrying through the rich texture. It is ready to drink now, but will profit from aging.",Portugal,Portuguese White
"A perfumed wine with wood aging flavors over citrus. From the Vinho Verde region, it's a curious hybrid of a wine, neither crisp enough nor rich enough.",Portugal,Portuguese White
Aromas of strawberry sherbet are followed by sweet candy-shop flavors on the palate. Chill it thoroughly before drinking. Screwcap.,Portugal,Rosé
"Herb and spice aromas are followed by a rich, black-fruited, now mature wine. Concentrated, the soft dusty tannins are well rounded to give a mellifluous, smooth texture, with just a hint of black plums and acidity.",Portugal,Portuguese Red
"Blending Alvarinho and Verdelho with Viognier, here is a rich, intense wine. There is no doubting its weight, although it also has fine acidity from its citrus and green plum fruits. Age for another year.",Portugal,Portuguese White
"The popular Marquês de Borba brand is a soft, ripe, very accessible wine. With a light touch of wood aging, it follows easily through with cherry and red plum fruits, a deliciously mouthwatering aftertaste.",Portugal,Portuguese Red
"A stylish wine, with mineral tannins and a dusty texture. It is cool, elegant and with a tight layer of acidity. There's plenty of firm structure, with berries and sweet fruit to finish. Age for 2–3 years.",Portugal,Portuguese Red
"In a richer style of Vinho Verde but nevertheless retaining plenty of cool, fresh characters. The wine has vivid grapefruit, lime and green apple flavors, rounded out attractively.",Portugal,Portuguese White
"With its lemon and peach flavors, this is a ripe wine. It still has plenty of acidity, but its main focus is on its smooth texture, just given a light edge by a fruit-skin bite.",Portugal,Alvarinho
"A fine balance between green fruits and very fresh acidity and a ripe full, lightly oily texture. There is a fine citrus tang as well on this ripe full-bodied wine.",Portugal,Verdelho
"Something of a disappointment in this vintage, a wine that has an awkward bitter character. The wine is fine enough, with rich berry fruits, but misses the style of previous vintages.",Portugal,Portuguese Red
"Rich and dense, a spicy wine, dominated by a smooth, concentrated character. The acidity is present and gives an essential antidote to the ripe black fruits, leaving a wine that is powerful without being excessive.",Portugal,Portuguese Red
"Tight, taut, mineral-driven wine, lively with a light prickle on the tongue. This is very fresh, with citrus and grapefruit flavors. Delicious, bone-dry Vinho Verde.",Portugal,Loureiro
"A strong, concentrated and ultimately rustic wine, a flavor that derives from the Alicante Bouschet in the blend. This gives it power and alcohol that shows in a pepper character. The final juicy palate feels solid and heavy.",Portugal,Portuguese Red
"A firmly tannic wine, with a woody core. It shows stalky black currant fruit along with tense acidity. At this stage, it is rough round the edges and could use  another year.",Portugal,Portuguese Red
"Lemon grass, lime and intensely crisp acidity identify the wine as definitely from the cool north of Portugal. A strong apple-skin texture dominates, leaving a wine that really needs shellfish type foods.",Portugal,Portuguese White
"The leg here refers to the red-legged partridge which is native to southern Portugal. The wine is certainly red enough, a blend of Aragonês and Shiraz (they use the Australian spelling). It is firm, richly tannic, attractively full of rich berry, plum and spice.",Portugal,Albana
"For a Syrah, this is soft, offering more of the smooth tannins than any bigger structure. It does have weight, with a dusty character and some juicy sweet plums and raisins, leavened by acidity.",Portugal,Syrah
"The typical burly character of Trincadeira is evident here. It is smoothed by wood aging and given extra richness with the powerful berry fruits and dark tannins. An attractive, early drinking, juicy wine.",Portugal,Trincadeira
"A juicy wine, showing ripe fruit and sweet acidity. It feels soft and fresh, the lively fruit much more important than the lean structure.",Portugal,Portuguese Red
"Brilliantly crisp lemon-flavored wine with vivid herbaceous character, tinged with white fruits and apple skin freshness.",Portugal,Portuguese White
"Portuguese grapes are blended with Cabernet Sauvignon in this earthy, aromatic wine. It is dense and concentrated, very solid and chunky. The plum-skin fruits and flavors of red pepper and radish have spice added from wood aging.",Portugal,Portuguese Red
